"geo_id","city","cases","population","rate"
"610345","Campbell","6217","42470","14639"
"617610","Cupertino","4065","60614","6706"
"629504","Gilroy","15133","55525","27254"
"643280","Los Altos","2423","30588","7921"
"643294","Los Altos Hills","684","8517","8031"
"644112","Los Gatos","4176","30922","13505"
"647766","Milpitas","10125","77457","13072"
"648956","Monte Sereno","345","3492","9880"
"649278","Morgan Hill","9375","43876","21367"
"649670","Mountain View","8180","80993","10100"
"0","Other/Unknown","15011","0",
"655282","Palo Alto","5332","67019","7956"
"668000","San Jose","187705","1026658","18283"
"669084","Santa Clara","16615","126209","13165"
"670280","Saratoga","2308","30886","7473"
"677000","Sunnyvale","16011","152323","10511"
